,r6i1p1f1,r21i1p2f1,r13i1p2f1,r19i1p2f1,r17i1p1f1,r3i1p2f1,r11i1p1f1,r14i1p2f1,r14i1p1f1,r7i1p2f1,r12i1p2f1,r12i1p1f1,r17i1p2f1,r7i1p1f1,r25i1p1f1,r11i1p2f1,r18i1p1f1,r4i1p2f1,r21i1p1f1,r15i1p2f1,r23i1p2f1,r9i1p1f1,r25i1p2f1,r20i1p2f1
2008,7.253808357,2.425014412,2.363877022,0.85455085,3.604518501,1.563618232,2.18491645,1.156941597,3.431024238,1.837839119,3.565041877,3.391273872,3.592927009,5.012684395,3.662596504,0.112655403,3.145509407,2.942064583,2.311806404,2.292767097,2.616424934,2.170588447,0.490985176,2.804046699
2009,1.793851082,2.680088264,1.539744026,3.571652595,3.212874519,3.084016487,3.841456062,-0.433840264,9.485470344,0.870510627,2.447425911,2.079418709,3.075781624,-0.587690361,2.533024055,3.484554207,3.169232246,3.85524543,6.967380134,4.004603645,1.610188057,1.760400764,1.263357612,1.211598884
2010,-0.73054345,-1.435620049,7.300161201,2.3690998,2.64114936,1.212513801,1.90318824,2.362206489,-0.03887719,1.929490425,3.654122993,2.036189644,0.64858863,3.877025215,1.810142891,1.920347053,1.867350227,3.370459358,2.274871284,3.254613106,7.669126961,4.232558357,2.536656563,-0.026779717
2011,4.367416145,7.601776191,3.640762092,2.721527473,2.767609016,2.13193885,1.585466682,1.609176704,3.504448921,3.512307197,3.946553413,4.187825386,-0.042899102,3.867485725,4.676339485,4.563916084,1.217571174,2.485275947,4.45560096,2.748846199,2.156916267,2.507330696,3.758842842,2.097677986
2012,2.737687752,4.833922798,1.055828621,10.78147529,3.513968879,1.981003486,3.414551765,2.678627083,4.353976814,2.101784126,3.023548347,2.046754524,2.940056221,2.861383125,4.682605354,2.05186866,3.297461311,4.11926551,3.014416572,4.144544136,2.673494331,1.752735359,2.659138557,1.533636848
2013,8.592778999,9.380837166,1.226471931,2.62486457,2.245881721,2.414520027,2.927305671,-0.023062371,1.411756355,2.996712715,3.760964119,-0.703428276,3.575966865,1.627029182,1.494294197,2.166259834,2.746565315,2.885928413,1.815026314,4.716540596,3.263574898,2.198301155,3.817970955,3.346940986
2014,0.521010505,5.044450447,2.371692573,2.695110847,2.795308296,6.52712165,2.872180244,4.600669929,2.230799019,3.649670173,-1.256746758,2.18250251,3.594169075,9.484209968,7.829591743,1.00567176,4.721759102,1.81467353,4.434685127,1.985953743,1.689172127,1.531753914,2.046276314,2.106928779
2015,4.313688728,2.688618232,1.710840523,2.344456245,3.744211799,-1.171116875,1.464616462,2.452210762,1.335302498,1.59011573,2.35662635,3.681442024,1.473191902,11.54556098,2.532269966,1.549086372,4.116929085,2.238187019,3.420452949,1.919373237,1.68278022,4.384605781,2.353230354,3.883101875
2016,1.171958992,0.991877815,4.530702888,2.659425422,1.055769111,2.286064522,2.138523018,9.515070869,2.428407356,4.948262398,3.577592842,4.399042732,2.360153572,5.843513862,3.854836799,1.255263435,1.579034187,3.785156013,4.107030403,3.275225288,2.227280952,3.312318794,7.258425056,4.598270942
2017,4.188309089,2.272526619,0.846363899,3.594176094,3.658392708,0.519640266,2.673442451,2.819102852,3.463716804,2.844537422,3.514285957,-0.146356743,6.922171394,3.872626106,10.19472602,3.594938118,2.436808845,2.615572578,1.709233467,2.023066169,2.224714424,4.103719856,8.846789009,2.052167427
2018,3.712853157,3.763318855,4.328261482,4.969119026,8.097419502,1.631974251,4.766612007,3.545625374,1.693612739,1.372226326,2.988759834,3.561758186,2.917283699,4.318292915,5.042772896,4.565701362,5.063102791,8.236428291,4.333437568,7.694180671,1.710329963,3.970745613,3.599949714,3.930206062
2019,4.353248359,3.937474128,2.294211189,3.723204719,2.189421455,2.641052925,3.481431038,3.820500557,2.492583992,9.066797249,8.023419868,4.390415718,1.642602913,4.440356209,1.999896003,2.19387397,1.085447761,3.598516609,4.211490852,0.471031563,4.033341438,2.245300056,2.816290962,2.087429573
2020,2.320615913,1.791835396,1.170860664,3.272612983,1.652735054,2.545712044,2.5440998,2.537364265,3.63321479,3.586118538,1.855082771,4.167764656,1.112949898,3.893125984,3.323617012,1.987235786,0.340481941,2.917350532,2.033707039,10.09793433,3.235681526,10.15331214,2.796680671,4.129235603
2021,2.289979316,2.922857429,1.240032722,4.453628303,3.567881843,7.960495674,1.4373545,7.786304695,7.468305427,3.186789314,2.985029365,4.296985542,8.292321235,3.33433387,4.6706977,1.33995948,3.979828865,2.935782234,4.050662605,1.961016304,1.890743782,7.751192695,2.291904976,9.388637153
